star,url,comment_num,price,rent_type,num_of_people,beds
48,http://sh.xiaozhu.com/fangzi/5485800313.html,12,478,整套出租,3,3
49,http://sh.xiaozhu.com/fangzi/5485800313.html,10,359,整套出租,2,1
0,http://sh.xiaozhu.com/fangzi/5485800313.html,0,799,整套出租,2,2
5,http://sh.xiaozhu.com/fangzi/5485800313.html,16,998,整套出租,5,3
0,http://sh.xiaozhu.com/fangzi/5485800313.html,0,339,整套出租,2,1
5,http://sh.xiaozhu.com/fangzi/5485800313.html,5,600,整套出租,2,1
5,http://sh.xiaozhu.com/fangzi/5485800313.html,5,508,整套出租,2,2
49,http://sh.xiaozhu.com/fangzi/5485800313.html,17,471,整套出租,2,1
0,http://sh.xiaozhu.com/fangzi/5485800313.html,0,458,整套出租,3,1
5,http://sh.xiaozhu.com/fangzi/5485800313.html,88,588,整套出租,2,1
48,http://sh.xiaozhu.com/fangzi/5485800313.html,62,322,整套出租,2,1
5,http://sh.xiaozhu.com/fangzi/5485800313.html,10,398,整套出租,2,1
0,http://sh.xiaozhu.com/fangzi/5485800313.html,0,448,整套出租,4,2
5,http://sh.xiaozhu.com/fangzi/5485800313.html,7,258,独立单间,1,1
5,http://sh.xiaozhu.com/fangzi/5485800313.html,18,316,整套出租,2,2
49,http://sh.xiaozhu.com/fangzi/5485800313.html,141,488,整套出租,2,1
0,http://sh.xiaozhu.com/fangzi/5485800313.html,1,488,整套出租,2,2
5,http://sh.xiaozhu.com/fangzi/5485800313.html,27,198,独立单间,2,1
0,http://sh.xiaozhu.com/fangzi/5485800313.html,0,558,整套出租,4,2
5,http://sh.xiaozhu.com/fangzi/5485800313.html,4,228,整套出租,2,2
0,http://sh.xiaozhu.com/fangzi/5485800313.html,3,598,整套出租,2,1
0,http://sh.xiaozhu.com/fangzi/5485800313.html,3,330,整套出租,4,2
5,http://sh.xiaozhu.com/fangzi/5485800313.html,13,168,独立单间,2,1
47,http://sh.xiaozhu.com/fangzi/5485800313.html,25,458,整套出租,3,2
5,http://sh.xiaozhu.com/fangzi/6081056515.html,4,888,整套出租,6,3
48,http://sh.xiaozhu.com/fangzi/6081056515.html,4,860,整套出租,6,6
48,http://sh.xiaozhu.com/fangzi/6081056515.html,7,338,整套出租,5,2
49,http://sh.xiaozhu.com/fangzi/6081056515.html,15,599,整套出租,4,2
0,http://sh.xiaozhu.com/fangzi/6081056515.html,1,549,整套出租,2,1
49,http://sh.xiaozhu.com/fangzi/6081056515.html,33,88,独立单间,2,1
5,http://sh.xiaozhu.com/fangzi/6081056515.html,5,248,独立单间,1,1
49,http://sh.xiaozhu.com/fangzi/6081056515.html,12,249,整套出租,4,2
49,http://sh.xiaozhu.com/fangzi/6081056515.html,16,338,独立单间,2,1
5,http://sh.xiaozhu.com/fangzi/6081056515.html,11,198,独立单间,2,1
0,http://sh.xiaozhu.com/fangzi/6081056515.html,2,588,整套出租,5,3
0,http://sh.xiaozhu.com/fangzi/6081056515.html,1,279,整套出租,4,2
5,http://sh.xiaozhu.com/fangzi/5875086114.html,7,158,独立单间,2,2
49,http://sh.xiaozhu.com/fangzi/5875086114.html,7,329,整套出租,5,3
45,http://sh.xiaozhu.com/fangzi/5875086114.html,5,298,整套出租,2,1
5,http://sh.xiaozhu.com/fangzi/5875086114.html,18,396,整套出租,6,3
47,http://sh.xiaozhu.com/fangzi/5875086114.html,10,248,独立单间,3,1
0,http://sh.xiaozhu.com/fangzi/5875086114.html,1,178,独立单间,2,1
5,http://sh.xiaozhu.com/fangzi/5875086114.html,53,148,独立单间,1,1
0,http://sh.xiaozhu.com/fangzi/5875086114.html,2,159,独立单间,2,1
48,http://sh.xiaozhu.com/fangzi/5875086114.html,8,456,整套出租,3,2
49,http://sh.xiaozhu.com/fangzi/5875086114.html,9,400,整套出租,4,2
0,http://sh.xiaozhu.com/fangzi/5875086114.html,1,308,整套出租,2,1
0,http://sh.xiaozhu.com/fangzi/5875086114.html,2,308,整套出租,3,2
0,http://sh.xiaozhu.com/fangzi/5875086114.html,1,228,独立单间,3,2
49,http://sh.xiaozhu.com/fangzi/5875086114.html,17,278,整套出租,2,2
47,http://sh.xiaozhu.com/fangzi/5875086114.html,53,99,整套出租,1,1
48,http://sh.xiaozhu.com/fangzi/5875086114.html,22,699,整套出租,6,3
49,http://sh.xiaozhu.com/fangzi/5875086114.html,13,148,独立单间,1,1
0,http://sh.xiaozhu.com/fangzi/5875086114.html,2,198,独立单间,2,1
5,http://sh.xiaozhu.com/fangzi/5875086114.html,26,138,独立单间,2,1
5,http://sh.xiaozhu.com/fangzi/5875086114.html,4,2298,整套出租,10,11
39,http://sh.xiaozhu.com/fangzi/5875086114.html,4,358,整套出租,4,3
48,http://sh.xiaozhu.com/fangzi/5875086114.html,9,308,独立单间,2,1
5,http://sh.xiaozhu.com/fangzi/5875086114.html,5,369,独立单间,2,1
0,http://sh.xiaozhu.com/fangzi/5875086114.html,1,1480,整套出租,10,8
5,http://sh.xiaozhu.com/fangzi/4689956714.html,6,298,整套出租,2,1
49,http://sh.xiaozhu.com/fangzi/4689956714.html,23,138,独立单间,2,1
0,http://sh.xiaozhu.com/fangzi/4689956714.html,2,288,整套出租,2,1
48,http://sh.xiaozhu.com/fangzi/4689956714.html,8,998,整套出租,6,3
48,http://sh.xiaozhu.com/fangzi/4689956714.html,6,180,独立单间,4,2
0,http://sh.xiaozhu.com/fangzi/4689956714.html,3,268,独立单间,2,1
5,http://sh.xiaozhu.com/fangzi/4689956714.html,8,288,整套出租,2,1
5,http://sh.xiaozhu.com/fangzi/4689956714.html,76,238,整套出租,4,2
0,http://sh.xiaozhu.com/fangzi/4689956714.html,1,418,独立单间,3,2
49,http://sh.xiaozhu.com/fangzi/4689956714.html,10,1099,整套出租,6,4
5,http://sh.xiaozhu.com/fangzi/4689956714.html,59,148,独立单间,2,1
47,http://sh.xiaozhu.com/fangzi/4689956714.html,19,228,整套出租,3,2
0,http://sh.xiaozhu.com/fangzi/4689956714.html,2,559,整套出租,4,2
5,http://sh.xiaozhu.com/fangzi/4689956714.html,8,195,独立单间,1,1
5,http://sh.xiaozhu.com/fangzi/4689956714.html,4,268,整套出租,3,1
49,http://sh.xiaozhu.com/fangzi/4689956714.html,8,198,独立单间,2,1
49,http://sh.xiaozhu.com/fangzi/4689956714.html,9,128,独立单间,2,1
0,http://sh.xiaozhu.com/fangzi/4689956714.html,2,498,整套出租,2,1
49,http://sh.xiaozhu.com/fangzi/4689956714.html,43,159,独立单间,2,2
5,http://sh.xiaozhu.com/fangzi/4689956714.html,15,228,整套出租,2,1
5,http://sh.xiaozhu.com/fangzi/4689956714.html,5,799,整套出租,8,4
48,http://sh.xiaozhu.com/fangzi/4689956714.html,63,268,整套出租,2,1
0,http://sh.xiaozhu.com/fangzi/4689956714.html,1,888,整套出租,4,2
0,http://sh.xiaozhu.com/fangzi/4689956714.html,3,258,独立单间,2,2
0,http://sh.xiaozhu.com/fangzi/6365971515.html,3,520,整套出租,6,3
47,http://sh.xiaozhu.com/fangzi/6365971515.html,13,238,整套出租,2,1
48,http://sh.xiaozhu.com/fangzi/6365971515.html,11,388,整套出租,4,2
49,http://sh.xiaozhu.com/fangzi/6365971515.html,13,288,整套出租,2,1
0,http://sh.xiaozhu.com/fangzi/6365971515.html,3,218,独立单间,2,1
48,http://sh.xiaozhu.com/fangzi/6365971515.html,14,228,整套出租,2,1
48,http://sh.xiaozhu.com/fangzi/6365971515.html,19,398,整套出租,2,2
5,http://sh.xiaozhu.com/fangzi/6365971515.html,7,328,整套出租,4,2
49,http://sh.xiaozhu.com/fangzi/6365971515.html,27,237,整套出租,2,1
0,http://sh.xiaozhu.com/fangzi/6365971515.html,3,288,整套出租,2,1
49,http://sh.xiaozhu.com/fangzi/6365971515.html,15,220,独立单间,2,1
49,http://sh.xiaozhu.com/fangzi/6365971515.html,22,158,独立单间,2,1
